,MAE,RMSE,R2
Quantum Kernel (PCA),203.17,268.16,-0.0937
Linear SVR (PCA),191.46,255.92,0.0038
Random Forest (PCA),170.82867388311112,206.2567722911327,0.3529730433185073
XGBoost (PCA),170.2442060939628,211.0809291423751,0.32235235280647556
Random Forest (Full),123.84996177495576,163.91237395995216,0.5913707778730135
XGBoost (Full),112.45392156219427,147.03632186490944,0.6711822896779585
